Numer VIN,Model,Rok produkcji,Paliwo,Typ nadwozia,Przebieg,Kolor,Poj. silnika,Stan techniczny,Skrzynia biegów,Kraj pochodzenia,Moc silnika,Napęd,Kierownica,Cena,Lokalizacja,Województwo,Tytuł,Rodzaj ogłoszenia,Znalezione o,Link,ID,Producent,Opis
VF7VV4HNHAZ902562,C-Crosser,2010,Diesel,SUV,307000,Czarny,2176,Nieuszkodzony,Automatyczna,Polska,156,4x4 (dołączany ręcznie),po lewej,"23800
donegocjacji",Międzywodzie,Zachodniopomorskie,Citroen c-crosser SUV,Prywatne,2025-04-19 16:48:19.523761,https://www.olx.pl/d/oferta/citroen-c-crosser-suv-CID5-ID14E2YJ.html,984782749,Citroen,"Witam posiadam na sprzedaż Citroena C Crossera
Bogata wersja wyposażenia Exclusive. 7 osobowy,Wnętrze w super stanie,
Po wymianie oleju i filtrów,Hak,Opony zimowe i letnie
-Tempomat
-ABS,ESP
-Fotele-skóra
-2 kluczyki,centralny zamek , auto alarm
-Nawigacja kolorowa,kamera cofania
-Elektryczne Lusterka,Elektryczne szyby
-Napęd na 2 lub 4 koła ,Łopatki przy kierownicy
-Kierownica i gałka biegów skóra
- Komputer
-Tempomat
-Klimatyzacja

*oraz wiele innych

Przegląd do 18.09.25

Ubezpieczenie do 27.11.25

Rozrząd i paski wymienione przy 276760

Kontakt 88*****05"
,A4,2006,Diesel,Kombi,323000,Czarny,2000,Nieuszkodzony,Manualna,Niemcy,140,4x4 (stały),po lewej,"16500
donegocjacji",Komorowo Żuławskie,Warmińsko-mazurskie,Audi a4 b7 2.0 tdi quattro,Prywatne,2025-04-19 16:48:36.195945,https://www.olx.pl/d/oferta/audi-a4-b7-2-0-tdi-quattro-CID5-ID15fVIr.html,993815139,Audi,"Witam sprzedam Audi a4b7 2.0tdi oznaczenie silnika BPW. Wersja quattro, ślinę wewnętrzny. W zeszłym miesiącu wymieniłem olej i wszystkie filtry, klocki wraz z tarczami przód. Auto przegląd posiada do 23.11.25 OC do 10.04.2026r
Zaślepiony i usunięty komputerowo egr. Dpf również usunięty. Nieraz potrafimodciac turbo, należy wtedy zgasić auto i odpalić, problem wtedy znika, być może to kwestia zaworu n75. Nie mam pojęcia. Więcej info pod numerem telefonu. Cena do negocjacji"
,Sportage,2016,Diesel,SUV,248000,Srebrny,1700,Nieuszkodzony,Automatyczna,,,,po lewej,57000,Zamość,Lubelskie,KIA Sportage IV (2016),Prywatne,2025-04-19 16:49:04.922204,https://www.olx.pl/d/oferta/kia-sportage-iv-2016-CID5-ID15pGDL.html,996136625,Kia,"Auto w bardzo dobrym stanie technicznym i wizualnym.
Wyposażenie:
• Skórzana tapicerka
• Elektrycznie regulowane fotele
• Panoramiczny dach
• Podgrzewana kierownica i fotele (przednie oraz tylne)
• Czujniki parkowania przód i tył
• Hak holowniczy
• Lampy ksenonowe z przodu, LED z tyłu
• Dwustrefowa klimatyzacja
• System keyless

Wymienione sprzęgło – gotowe do jazdy.

Kontakt: 6..6..2…6…0…7….7…0…3 (proszę o kontakt telefoniczny, nie odpisuję na SMS-y)."
,Seria 3,2011,Benzyna,Coupe,260000,Brązowy – Beżowy,2000,Nieuszkodzony,Manualna,,,,po lewej,24999,Płońsk,Mazowieckie,BMW 320 Coupe E92 Ksenon Navi Sprowadzony Ładny,Prywatne,2025-04-19 16:49:06.885504,https://www.olx.pl/d/oferta/bmw-320-coupe-e92-ksenon-navi-sprowadzony-ladny-CID5-ID151imu.html,990323426,BMW,"Posiadam do sprzedania bardzo ładne BMW 320i E92 o mocy 170km.Auto bardzo ładnie sie prezentuje.Lakier czysty i zadbany bez szpachli czy oznak korozij. Technicznie jezdzi jak nowe!Zawieszenie sztywne bez luzow. Srodek auta jak nowy.
Mozliwosc sprawdzenia na dowolnej stacji diagnostycznej.

Na wyposażeniu min:
- Wspomaganie kierownicy
- Centralny zamek
- Elektryczne szyby
- Elektryczne lusterka
- Klimatronic
- Skorzana tapicerka
- Elektryczne fotele
- Nawigacja
- Alu felgi 17""

Auto świeżo sprowadzone w cenie przygotowane do rejestracji koszt 160zl.Mozliwosc powrotu na kolach lub transportu
Zapraszam do kontaktu 5 1 8 3 0 2 6 0 4
Do obejrzenia w Plonsku ul Spółdzielcza 1"
,A8,2003,Benzyna,Sedan,406000,Inny kolor,4200,Nieuszkodzony,Automatyczna,Dania,335,4x4 (stały),po lewej,29500,Słubice,Lubuskie,Audi a8 d3 4.2 benzyna + gaz 2003,Prywatne,2025-04-19 16:49:21.068036,https://www.olx.pl/d/oferta/audi-a8-d3-4-2-benzyna-gaz-2003-CID5-ID15ogGk.html,995798512,Audi,"Niedawno 2 tyg temu wymieniono :
- wtryskiwacz gazowe
-wtryskiwa paliwa
-rozrzad zestaw Continental
- czujnik położenia walu
-rolki osprzętu + pasek
-olej + wszystkie filtry

6 miesięcy temu wymieniony wszystkie whacze dolne przód + łączniki stabilizatora , lewy przedni miech, tarcze przód Zimmermann Sport z klockami, tarcze , klocki tył Brembo, nowe silniczki hamulca ręcznego + z prawej strony kompletny z zaciskiem.

W 2021 roku był zakładany gaz Stag, na gazie zrobione 50 tys km z czego 40 tys km to tylko autostradowy przebieg.

Auto posiada 400 tys przebiegu przy 370 tys wymienione były łańcuchy z nastawnikami, wyczyszczono odpływy szyberdachu.

Silnik nie posiada żadnych wycieków, odpala na strzała pracuje idealnie. Utrzymany w dobrym stanie jak na 22 lata nie wymaga żadnego wkładu na tą chwilę siadać i jechac.

W ostatnim czasie były wymienione 2 sondy Bosh.

Założony jest odbiornik Bluetooth.

Auto posiada klimatronik, elektryczna kierownice, pamięć foteli, elektryczne fotele kierowcy i pasażera, podgrzewana tylna kanapę, tempomat.

Do Auta Dorzucam klocki przód Febi, silniczek ręcznego nowy, dekory w tym samym kolorze, tylna półka.

Zapraszam do obejrzenia.
79***********06"
,Yaris,2004,Benzyna,Hatchback,190000,Srebrny,1300,Nieuszkodzony,Manualna,Polska,70,,,2900,Warszawa Wawer,Mazowieckie,Toyota Yaris 2004 1.3,Prywatne,2025-04-19 16:56:19.296616,https://www.olx.pl/d/oferta/toyota-yaris-2004-1-3-CID5-ID15sOvH.html,996881923,Toyota,"Dzień dobry
Sprzedam widoczną na zdjęciu Toyota Yaris polift auto pochodzi z 2004r. Wyposażona w silnik benzynowy 1.3 i ma przejechane zaledwie 190 tys km. Auto bez korozji jedynie ślady użytkowania , bez klimy"
TMBZZZAAED617550,Citigo,2013,Benzyna,Hatchback,168100,Biały,999,Nieuszkodzony,Manualna,Polska,44,Na przednie koła,po lewej,"10500
donegocjacji",Kołobrzeg,Zachodniopomorskie,Sprzedam samochod osobowy Skoda citygo 3drzwiowa,Prywatne,2025-04-19 16:56:21.558402,https://www.olx.pl/d/oferta/sprzedam-samochod-osobowy-skoda-citygo-3drzwiowa-CID5-ID15sEfY.html,996842446,Skoda,"Sprzedam skoda Citygo rocznik 2013 1.0 benzyna , na letnich oponach po wymianie kompletnego rozrządu przy przebiegu 161000 obecnie ma 168tys ,
Fajne miejskie auto idealne na dojazdy do pracy , lub na pierwsze auto . Obecnie żona do pracy jeździ"
,XC 70,2008,Benzyna,Kombi,350000,Brązowy – Beżowy,3200,Nieuszkodzony,Automatyczna,Stany Zjednoczone,238,4x4 (dołączany automatycznie),po lewej,"20500
donegocjacji",Warszawa Białołęka,Mazowieckie,Volvo XC 70 3.2 b,Prywatne,2025-04-19 16:56:22.962754,https://www.olx.pl/d/oferta/volvo-xc-70-3-2-b-CID5-ID1570lZ.html,991684171,Volvo,"Na sprzedaż Volvo XC70 z 2008 roku – komfortowe i przestronne kombi z napędem AWD, które świetnie sprawdzi się zarówno w mieście, jak i na dłuższych trasach. Auto sprowadzone z USA (sprowadzone jako nowe, na mienie przesiedleńcze), regularnie serwisowane, gotowe do jazdy.

Najważniejsze informacje:

Silnik 3.2 benzyna – solidna jednostka bez turbo
Automatyczna skrzynia biegów – olej wymieniany co 60 tys. km
Napęd AWD – pewność prowadzenia w każdych warunkach
Przestronne wnętrze, duży bagażnik

Stan techniczny i serwis:
- Hamulce: klocki tylne wymienione rok temu, przednie razem z tarczami 2 lata temu
- Olej w silniku wymieniany zgodnie z sygnałem
- W podłokietniku książeczka serwisowa z wpisami – m.in. wymiany wahaczy, zbieżność

Usterki do uwzględnienia:

Kontrolka ciśnienia opon – brak czujników Check Engine – sonda lambda wychwytuje błędne generowanie spalin (koszt wymiany: ~700 zł, jedna z dwóch generuje błąd)
Klapa bagażnika – spadła sprężynka w zamku przez co trzeba otwierać z pilota

Auto wciąż w użytkowaniu, sprawne, prowadzi się bardzo dobrze. Zapraszam do kontaktu i na jazdę próbną!

kontakt: 66*****96"
JMBXJGA6WDZ409840,ASX,2013,Diesel,SUV,230000,Srebrny,1800,Nieuszkodzony,Manualna,Polska,150,4x4 (dołączany ręcznie),,"32000
donegocjacji",Warszawa Wola,Mazowieckie,Mitsubishi ASX 4x4 1.8 2013/2014,Prywatne,2025-04-19 16:56:36.021564,https://www.olx.pl/d/oferta/mitsubishi-asx-4x4-1-8-2013-2014-CID5-ID15bTNy.html,992850612,Mitsubishi,"Sprzedam Mitsubishi ASX 1.8 diesel z 2013 r. Bezwypadkowy. Data pierwszej rejestracji 27.03.2014. Napęd 4x4. Przebieg 230 tys. km. Wyprodukowany w Japonii. Dwa komplety opon (zima, lato).

Stan jak na zdjęciach. Wg mnie bardzo dobry. Jestem drugim właścicielem, kupiłem je w ASO w Kaliszu. Początkowo serwisowany w ASO (akcje serwisowe), później u zaprzyjaźnionego mechanika. Auto regularnie przeglądane, olej i filtry wymieniane co 15 tys. Mechanicznie bez żadnych zarzutów. Blacharsko stanie bdb, z wyjątkiem typowego dla wszystkich ASX tematu klapy bagażnika (na zdjęciach widać korozję przy uchwycie klapy). Auto jest 100% bezwypadkowe. Cena do negocjacji. Do obejrzenia w Warszawie na Woli albo w Serocku."
,Kuga,2017,Diesel,SUV,185000,Czarny,,Nieuszkodzony,Automatyczna,Niemcy,180,4x4 (dołączany automatycznie),,"81000
donegocjacji",Chwałkowo,Wielkopolskie,"Ford kuga mk2 2017 r 4x4 st- line , full opcja !! POLECAM !!",Prywatne,2025-04-19 16:56:37.494692,https://www.olx.pl/d/oferta/ford-kuga-mk2-2017-r-4x4-st-line-full-opcja-polecam-CID5-ID15tvHw.html,997051729,Ford,"Witam , sprzedam pieknego forda kuga mk2 2017 2.0 180 disel w wersji wyposarzenia st-line wraz z automatyczna skrzynia biegow . Wizualnie samochód prezentuje sie bardzo atraktyjnie, technicznie wszystko bez mankamentow , wszystkie podzespoły pracuja jak należy , zawieszenie sztywne i niewybite prowadzi sie wzorowo , silnik pracuje równo i cicho , auto cale w orginale , zaden element nie był malowany , auto stoi na letnich oponach ktore kupilem nowe w 2023 roku
Wszystkie oleje plus filtry wymieniane co max 10tys km. plus olej przekladniowy ( skrzyni ) co 50 tys km na co podiadam papiery . Auto ma przejechane 185 tys . Od 0 do 130 tys km serwisowane w niemczech od 130 do aktualnego przebiegu juz u mnie . Posiadam wszystkie wpisy serwisowe , rorzad robiony przy przebiegu 127 tys rownierz w serwisie . Auto na full wyposarzeniu , rzadko spotkac tak wyposazony samochod
- naped 4x4
- swiatla led
-ambientowe oswietlenia wnetrza
-panoramiczny szyberdach
- skora + alkantara
- łopatki zmiany biegow
- klimatyzacja 2 strefowa
-nawigacja gps
- radar antykolozyjny
- rozpoznywanie znakow
- kamera cofania
- czujniki parkowania przod , tyl
- czujniki martwego pola
- asystent pasa ruchu
- asystent parkowania
-system start stop
- aktywny tempomat z mozliwoscia ustawienia odleglosci od poprzedzajacego auta
- el. Sterowany fotel kierowcy
- podgrzewane fotele przod
- webasto
- podgrzewana przednia i tylnia szyba
- otwieranie bagaznika elektrycznie i bez dotykowo
- multifukcyjna kierownica
- lusterko fotohromatyczne
- system nagłośnienia SONY
- zestaw głosnomowiacy
- zestaw multimedialny bluetooth
- radio cd z dotykowym wyswietlaczem
- wejscie aux , usb
- 4x elektryczna szyba
- el. Lusterka , skladane , podgrzewane
- 2x podlokietnik
- abs , esp, isofix, air bags,
- alufelgi 18
- halogeny
- czujnik deszczu , zmierzchu
- imobilaizer
- centralny zamek
- hak otwierany elektrycznie
- ubezpieczenie oraz przeglad waze do stycznia 2026
- wiecej zdjec moge wyslac

Napisalem najwazniejsze wyposazenie auta ale pewnie o czyms zapomnialem , bo naprawde jest co pisac , pelne wyposazenie mam wydrukowane wraz z cala historia oraz WIN -em do wgladu

Auto sprzedaje z czystym sumieniem , naprawde bez zadnego wkladu finansowego , wsiadac i jezdzic Godne polecenia , sprzedaje ze wzgledów prywatnych
Wiecej informacji pod numerem 78*****94
POLECAM!!!"
,CLS Klasa,2005,Diesel,Coupe,291000,Srebrny,2999,Nieuszkodzony,Automatyczna,Wielka Brytania,224,Na tylne koła,po prawej,"18000
donegocjacji",Bydgoszcz,Kujawsko-pomorskie,Mercedes CLS 320,Prywatne,2025-04-19 16:56:45.206266,https://www.olx.pl/d/oferta/mercedes-cls-320-CID5-ID15abZ7.html,992443865,Mercedes-Benz,"Witam sprzedam CLS 320cdi
W moich rękach 7lat
Zarejestrowany w PL
Auto całe w oryginale
Silnik ,skrzynia w Bdb stanie
Serwisowany na bieżąco
Świeżo po serwisie olejowym

Zapraszam na jazdę próbną"
VF7FCHFXB27358931,C3,2005,Benzyna,Hatchback,167328,Czarny,1124,Nieuszkodzony,Manualna,Polska,44,Na przednie koła,po lewej,"4200
donegocjacji",Międzybrodzie Żywieckie,Śląskie,Citroën C3 1.1 Benzyna,Prywatne,2025-04-19 16:56:52.538818,https://www.olx.pl/d/oferta/citroen-c3-1-1-benzyna-CID5-ID15nXsN.html,995724637,Citroen,"Citroën C3 1.1 Benzyna | Ekonomiczny | Idealny do miasta | Zadbany

Sprzedam Citroëna C3 z oszczędnym silnikiem 1.1 benzyna. Auto świetnie sprawdza się w mieście – tanie w eksploatacji, proste w obsłudze i bardzo wygodne do codziennego użytku.

Dane pojazdu:
• Rok produkcji: 2005
• Silnik: 1.1 benzyna, 60 KM
• Przebieg: 167 328
• Skrzynia biegów: manualna
• Kolor: czarny
• Liczba drzwi: 5

Wyposażenie:
• Wspomaganie kierownicy
• Centralny zamek
• Elektryczne szyby
• ABS, poduszki powietrzne

Stan techniczny:
Auto zadbane, technicznie sprawne, nie sprawia problemów.
Silnik pracuje równo, zawieszenie w dobrym stanie, hamulce nowe.
Przegląd: 02.10.2025
OC: 06.07.2025
Przy ekonomicznej jeździe – spalanie ok. 5–6 l/100 km.

Cena: 4 200 zł do negocjacji

Do obejrzenia w Międzybrodziu Żywieckim
Więcej informacji telefonicznie: 57*******64
Możliwość jazdy próbnej – zapraszam!"
,Polo,2012,Benzyna,Hatchback,153725,Szary,1390,Nieuszkodzony,Manualna,Niemcy,86,Na przednie koła,po lewej,"23999
donegocjacji",Krajenka,Wielkopolskie,Vw Polo 1.4 16v/Alu/Klimatronik/5 Drzwi/Elektryka/Niemcy/Opłacony,Prywatne,2025-04-19 16:56:54.008025,https://www.olx.pl/d/oferta/vw-polo-1-4-16v-alu-klimatronik-5-drzwi-elektryka-niemcy-oplacony-CID5-ID15rgj7.html,996512057,Volkswagen,"Witam!

Mam do sprzedania bardzo ładnego Vw Polo.
Stan auta jest Bardzo Dobry.
Silnik pracuje Pięknie, odpala bezproblemowo, nie dymi, jest oszczędny i dynamiczny.
Zawieszenie nie posiada żadnych luzów, ładnie trzyma się drogi, nie wydaje niepokojących odgłosów.
Wnętrze jak nowe, czyste, zadbane, pachnące, w aucie nie palono papierosów.
Lakier zadbany, nieporysowany, niepognieciony, nie ma żadnej korozji.

Silnik 1.4 16v 86Km BENZYNA
Najlepsza jednostka napędowa benzynowa w tym modelu

Skrzynia Manualna 5 biegowa

Wyposażenie:

-Wspomaganie kierownicy
-Klimatronik(sprawny)
-Parktronik tył
-Alu Felgi '17
-Podgrzewane fotele
-Tempomat
-Elektryczne szyby x4
-Elektryczne lusterka
-Podgrzewane lusterka
-Isofix
-ABS
-ASR
-Komputer pokładowy
-Centralny zamek na pilota
-Immobiliser
-Światła do jazdy dziennej
-Spryskiwacze reflektorów
-Poduszki powietrzne x4
-Regulacja kierownicy w dwóch płaszczyznach
-Skórzana kierownica
-Oryginalne Radio CD VW
-Wyjście Aux
-Regulacja wysokości fotela kierowcy
-Podłokietnik przód
-Oryginalnie Przyciemniane szyby
-Halogeny
-Dwa kluczyki
-Piękny kolor Grafit Perła Metalic.

Rok prod. 2012

Samochód sprowadzony z Niemiec!

Przebieg 153725km

Auto Bezwypadkowe.

Samochód nie wymaga wkładu finansowego.

Wszystko sprawne na 100%

Auto jest już przygotowane do rejestracji, dzięki czemu Klient nie musi martwić się o formalności związane z przygotowaniem auta do rejestracji, oraz otrzymuje fakturę Vat-Marża, dzięki której zwolniony jest z opłaty skarbowej 2%

Na życzenie klienta możliwość sprawdzenia Auta na stacji diagnostycznej.

Polecam i zapraszam na jazdę próbną.

Istnieje możliwość pozostawienia auta w rozliczeniu-zamiana."
SJNFEAJ10U2584779,Qashqai,2012,Diesel,SUV,179322,Czarny,1600,Nieuszkodzony,Manualna,Szwecja,130,Na przednie koła,po lewej,29900,Ciechanów,Mazowieckie,Nissan Qashqai 1.6 DCI 130 KM. 2012 rok Navi Bezwypadkowy stan idealny,Prywatne,2025-04-19 16:56:55.824586,https://www.olx.pl/d/oferta/nissan-qashqai-1-6-dci-130-km-2012-rok-navi-bezwypadkowy-stan-idealny-CID5-ID157rLs.html,991789538,Nissan,"Witam , sprzedam bardzo ładnego NISSANA QASHQAIA LIFT 1,6 DCI ( diesel ) 130 koni ( najlepszy silnik ) , rok 2012 , pierwsza rejestracja 2013-08-30. przebieg 179322 tyś km, udokumentowany + książka + faktury + dwa kluczyki . Auto bardzo ładne , BEZWYPADKOWE , wszystko pracuje bardzo dobrze , wszystko działa , Auto dopiero sprowadziłem , opłaciłem , ubezpieczyłem i zrobiłem przegląd . AUTO JEST GOTOWE DO REJESTRACJI . Na auto wystawiam Fakturę Vat-marża ( kupujący zwolniony z podatku 2% ). Na Fakturze wpisuję przebieg za który biorę odpowiedzialność . Auto jest bardzo bogato wyposażone ( duże radio , Nawigacja , czujniki cofania , podgrzewane fotele , skórzana kierownica wielofunkcyjna , tempomat , alufelgi , + opony zimowe , piękny czarny kolor , pakiet chrom, komputer , klimatyzacja dwustrefowa , halogeny , system START-STOP, ITD , Na miejscu udzielam miernik lakieru, można jechać na stacje diagnostyczną , Zapraszam . CIECHANÓW TEL; 602==525==407"
VF1KW05B544544609,Kangoo,2010,Diesel,Minivan,233000,Szary,1500,Nieuszkodzony,Manualna,Polska,90,Na przednie koła,po lewej,"15000
donegocjacji",Poznań Junikowo,Wielkopolskie,Renault Kangoo II,Prywatne,2025-04-19 16:57:03.453415,https://www.olx.pl/d/oferta/renault-kangoo-ii-CID5-ID15p6ZD.html,995999597,Renault,"Kupiony w polskim salonie w grudniu 2010 r
1 wlaściciel od nowości
Data pierwszej rejestracji 31.12. 2010 r
Przebieg 233000 km
Silnik 1,5 dci 90 KM
Samochód nieuszkodzony , posiada rysy na tylnych błotnikach , odparzenie lakieru na atrapie
Opony całoroczne wymienione na wiosnę w zeszłym roku , alufelgi plus felgi stalowe z kołpakami
Wyposażony w czujniki deszczu i świateł , wszystkie szyby opuszczane elektrycznie , podgrzewane i składane elektrycznie lusterka , relingi dachowe z chowanymi poprzeczkami
Drobne uszkodzenia tapicerki wynikające z używania
Oryginalna kierownica i dywaniki materiałowe jako dodatek do auta ( zamontowana kierownica obszyta skórą - wytarta , dywaniki są gumowe w aucie )"
,Fabia,2009,LPG,Kombi,240000,Żółty – Złoty,,Nieuszkodzony,Manualna,,,,po lewej,"10990
donegocjacji",Łódź Górna,Łódzkie,Skoda Fabia 2009 1.2 Benzyna +LPG | 70 Km |Klima|Hak|Zamiana,Firmowe,2025-04-19 16:57:07.739773,https://www.olx.pl/d/oferta/skoda-fabia-2009-1-2-benzyna-lpg-70-km-klima-hak-zamiana-CID5-ID15qVNk.html,996437050,Skoda,"Skoda Fabia 2009 1.2 Benzyna +LPG | 70 Km |Klima|Hak|Zamiana

Na sprzedaż Skoda Fabia z 2009 roku z niezawodnym silnikiem 1.2 benzyna o mocy 70 KM, dodatkowo wyposażona w instalację gazową ważną do 2028 roku – co znacząco obniża koszty codziennego użytkowania! Wersja kombi sprawia, że to idealny wybór zarówno do miasta, jak i na dłuższe trasy.

Silnik 1.2 Benzyna + LPG – odpala bez zarzutu, pracuje cicho i równo na obu paliwach
Zawieszenie w świetnym stanie – auto prowadzi się pewnie i komfortowo
W pełni sprawna elektronika – wszystkie funkcje działają bez zarzutu
Podgrzewane fotele – zwiększają komfort w chłodniejsze dni
Lakier w dobrym stanie – jedynie drobne ślady użytkowania
Wnętrze czyste i zadbane – bez przetarć

Skoda Fabia Kombi to praktyczne, oszczędne i niezawodne auto, które sprawdzi się w każdej sytuacji – idealna opcja na pierwsze auto lub jako ekonomiczny samochód rodzinny.

Skrzynia : Manualna
Silnik ; 1.2 Benzyna
Rok : 2009
Moc; 70 km
Przebieg : 240 000
Ubezpieczenie ; 15.05.2025
Przegląd : 23.08.2025
Sekwencyjna instalacja gazowa ważna do 2028 roku

WYPOSAŻENIE:
Klimatyzacja manualna
Wspomaganie kierownicy/reg.kierownicy
Podgrzewane fotele
Komputer pokładowy
Miejsce na kubeczki
EL,szyby
EL.lusterka/Podgrzewane lusterka
Airbag
Isofix
Regulacja pasów
Centralny zamek
Hak
Relingi dachowe

Serdecznie zapraszamy do kontaktu 57*******90 w celu umówienia się na jazdę próbną lub uzyskania dodatkowych informacji!

Adres Autokomisu ul. Zielona 39 95-054 Ksawerów

Czynne codziennie ;
Poniedziałek - Piątek 10-19
Sobota 10-19
Niedziela 10-16

Chętnie przyjmujemy auta w rozliczeniu!
Skupujemy auta za gotówkę!
Rezerwacja wybranego modelu możliwa jedynie poprzez wpłatę zadatku!"
,Scirocco,2009,Benzyna,Coupe,223000,Biały,1400,Nieuszkodzony,Manualna,,160,,,"26000
donegocjacji",Sosnowiec,Śląskie,Vw scirocco 1.4 tsi 160km,Prywatne,2025-04-19 16:57:09.244955,https://www.olx.pl/d/oferta/vw-scirocco-1-4-tsi-160km-CID5-ID14Ejg5.html,984845329,Volkswagen,"Dzień dobry,

Mam do sprzedania VW Scirocco 1.4 tsi 160km

Wydech tuningowany w MG Motorsport

Silnik parę lat temu był kompletnie regenerowany.

Sprzęgło było robione dwa lata temu.

Amortyzatory w zeszłym roku.

Samochód w dobrym stanie technicznym.

Ogólnie mało nim jeżdżę i rocznie robię tylko parę tysięcy km.

Mam dwa samochody i ten jest używany od niedzieli ;)

Fajny samochód który super się prowadzi.

W razie pytań proszę o kontakt.

Pozdrawiam serdecznie"
,Meriva,2005,Diesel,Hatchback,1,Czerwony,1700,Nieuszkodzony,Manualna,Niemcy,100,Na przednie koła,po lewej,"5900
donegocjacji",Płock,Mazowieckie,NAJBOGATSZA wersja meriva Skóry XENON grz.FOTELE I WŁ rej PL,Prywatne,2025-04-19 16:57:10.584266,https://www.olx.pl/d/oferta/najbogatsza-wersja-meriva-skory-xenon-grz-fotele-i-wl-rej-pl-CID5-IDX7ozv.html,873566578,Opel,"Witam!
Proponuję Państwu zadbany i funkcjonalny samochód jakim jest OPEL MERIVA w NAJBOGATSZEJ wersji wyposażenia z wyprofilowanymi skórzanymi FOTELAMI , KLIMATYZACJĄ , pełną elektryką i PODGRZEWANYMI fotelami oraz fabrycznym XENONEM , zarejestrowany w POLSCE , od pierwszego WŁAŚCICIELA!

Mimo 21 lat pojazd ten wciąż sprawnie jeździ , technicznie jest sprawny 100%można wsiadać i od razu cieszyć się z jazdy.
Uroku dodaje metaliczny CZERWONY lakier oraz oryginalne ALUFELGI.

Silnik to PANCERNA jednostka napędowa 1.7 ISUZU co pozwala na SPRAWNE I BEZAWARYJNE PORUSZANIE SIĘ AUTEM. Pracuje równo i cicho nie ma z nim żadnych problemów.
W połączeniu z MANUALNĄ skrzynią biegów jest bardzo KOMFORTOWY i daje dużo przyjemności z jazdy a przy tym ekonomiczny bo spala ok 5l/ 100km.

Auto posiada seryjne zawieszenie , które jest w stanie bdb, co sprawia że pewnie pokonuje zakręty, i świetnie trzyma się drogi.

Auto jest dobrze wyposażone, środek jest czysty i zadbany!!!

Ponad to
POSIADA WAŻNE WSZYSTKIE OPŁATY przegląd i ubezpieczenie OC , oraz KOMPLETNĄ DOKUMENTACJĘ 2 x klucze.

Auto jak najbardziej do jazdy , nie wymaga wkładu finansowego , można sprawdzić na dowolnie wybranym serwisie .

CENA do negocjacji dla konkretnego klienta. Możliea zamiana na inne auto lub motocykl

Auto jest zadbane i warte swojej ceny!!! dlatego kolejny właściciel będzie na pewno zadowolony!!!

LOKALIZACJA : Płock woj. mazowieckie (100 km od Warszawy, 100km od Torunia, 100 km od Łodzi )
więcej informacji pod nr tel
ZAPRASZAM na jazdę próbną :)"
WF0RXXGCDRBL76804,Kuga,2011,Diesel,SUV,191000,Inny kolor,1997,Nieuszkodzony,Automatyczna,Niemcy,,,po lewej,"35800
donegocjacji",Gorlice,Małopolskie,Do sprzedania Ford Kuga,Prywatne,2025-04-19 16:57:12.273602,https://www.olx.pl/d/oferta/do-sprzedania-ford-kuga-CID5-ID15hsCA.html,994176112,Ford,"Do sprzedania Ford Kuga 2011r.
Auto sprowadzone z Niemiec. W Polsce jestem pierwszym właścicielem,auto posiadam od półtora roku, przegląd i OC ważne do września,więcej informacji udzielę telefonicznie."
VSSZZZ6LZ5R043244,Ibiza,2004,Diesel,Hatchback,165000,Czerwony,1896,Nieuszkodzony,Manualna,Polska,160,Na przednie koła,po lewej,"16900
donegocjacji",Kcynia,Kujawsko-pomorskie,Seata Ibiza Cupra,Prywatne,2025-04-19 16:57:22.186131,https://www.olx.pl/d/oferta/seata-ibiza-cupra-CID5-ID159awq.html,992199852,Seat,"Sprzedam auto marki Seat modeli Ibiza Cupra, 1.9tdi 160KM(mapa na 225km) przebieg 165 tys km rok produkcji 2004r. Auto w moim posiadaniu niecały rok (od października 2024) w tym czasie bez jakichkolwiek problemów. Stan auta oceniam na dobry z+. W razie jakichkolwiek pytań proszę o kontakt telefoniczny."
,5,2011,Diesel,Minivan,160000,Szary,1600,Nieuszkodzony,Manualna,Niemcy,116,Na przednie koła,,20900,Kolbuszowa Górna,Podkarpackie,Mazda 5 1.6d / xenon / 7 osobowa / stan jak nowy / z Niemiec,Prywatne,2025-04-19 17:07:36.714134,https://www.olx.pl/d/oferta/mazda-5-1-6d-xenon-7-osobowa-stan-jak-nowy-z-niemiec-CID5-ID15o0qz.html,995736031,Mazda,"Witam, przedmiotem sprzedaży jest sprowadzona z Niemiec Mazda 5 z ekonomicznym silnikiem 1.6 e-hdi (EURO5) po wszystkich opłatach celno skarbowych, badanie techniczne ważne rok czasu, ubezpieczenie na dojazd. Samochód bardzo zadbany, lampy błyszczące, co widać na poniższych zdjęciach.
Przebieg udokumentowany, jest możliwość sprawdzenia po nr. Vin. Zalecana wymiana rozrządu dopiero przy 300 tys. km

Wyposażenie:

- elektrycznie otwierane drzwi przesówne

- reflektory xenonowe

- abs, esp

- komputer pokładowy

- klimatyzacja automatyczna dwustrefowa

- ekonomiczny silnik

- aux

- radio CD

- elektryczne szyby

- poduszki powietrzne

- isofix

- alufelgi

- i inne

Samochód bardzo zadbany, po opłatach celno-skarbowych

Przed zakupem jest możliwość sprawdzenia w dowolnym serwisie lub na stacji diagnostycznej.

Gwarancja rozruchowa!"
