Numer VIN,Model,Rok produkcji,Paliwo,Typ nadwozia,Przebieg,Kolor,Poj. silnika,Stan techniczny,Skrzynia biegów,Kraj pochodzenia,Moc silnika,Napęd,Kierownica,Cena,Lokalizacja,Województwo,Tytuł,Rodzaj ogłoszenia,Znalezione o,Link,ID,Producent,Opis,Czy cena do negocjacji
,E-Type,1970,Benzyna,Coupe,80000,Szary,4200.0,Nieuszkodzony,Automatyczna,Wielka Brytania,280.0,,po lewej,390000.0,Leszcz,Kujawsko-pomorskie,Sprzedam Jaguar ETYPE,Prywatne,2025-04-24 16:00:25.180351,https://www.olx.pl/d/oferta/sprzedam-jaguar-etype-CID5-ID14prBx.html,981302491,Jaguar,"Witam

Mam na sprzedaż pięknego Jaguara e-type z 1970r 2+2

Zarejestrowany w jako auto zabytkowe.

-Nadwozie odnowione szarym metalicznym kolorem

-elementy chromowane odnowiono z zastosowaniem metody elektrolitycznej

-silnik w pełni oryginalny nie wymagał interwencji został tylko prewencyjnie złożony i zamontowany z użyciem nowych uszczelniaczy.

Układ zasilania paliwa otrzymał nowe filtry i pozostał w oryginale bez modyfikacji.

Wszystkie elementy eksploatacyjne zostały wymienione na nowe oryginalne.

Został odbudowany zgodnie ze sztuką zachowując maksymalnie dużą zgodność z oryginałem.

W efekcie samochód wygląda i prowadzi się jak nowy

Stan ogólny bardzo dobry bez rys korozji i ubytków

Rzeczoznawca ocenił oryginalność na 90%

Środek oryginalność i kompletność wyposażenia 95%

Silnik 90%

Układ hamulcowy i kierowniczy 95%

Piękne szprychowane chromowane felgi

Załączam opinie rzeczoznawcy

Zapraszam do kontaktu i na oględziny pod Toruniem
Auto prezentuje się niesamowicie.
Możliwa zamiana.",True
,Seria 3,1990,Benzyna,Kabriolet,140000,Inny kolor,,Nieuszkodzony,Automatyczna,Stany Zjednoczone,170.0,Na tylne koła,po lewej,38500.0,Nowe Kamienice,Wielkopolskie,BMW E30 325i Cabrio Klimatyzacja Bbs M20b25,Prywatne,2025-04-24 16:00:30.046112,https://www.olx.pl/d/oferta/bmw-e30-325i-cabrio-klimatyzacja-bbs-m20b25-CID5-ID13dS9l.html,963768259,BMW,"Sprzedam BMW E30 325i Cabrio oryginalne m20b25 w maksymalnej opcji wyposażenia,posiada klimatyzację.Zarejestrowany,ubezpieczony w Polsce,rok produkcji 1990.

Nr vin:WBABB2313MEC24956

BMW sprawne,silnik,skrzynia pracują bardzo ładnie,karoseria potrzebuję prac blacharsko lakierniczych.Posiada oryginalny katalizator.

Możliwość transportu

Zainteresowanych zapraszam do kontaktu telefonicznego.",True
,Fabia,2009,Diesel,Hatchback,236,Srebrny,1400.0,Nieuszkodzony,Manualna,,80.0,,,10900.0,Niemcza,Dolnośląskie,Skoda Fabia II 1.4 klima bez korozji zadbana,Prywatne,2025-04-24 16:00:46.042603,https://www.olx.pl/d/oferta/skoda-fabia-ii-1-4-klima-bez-korozji-zadbana-CID5-ID15msZE.html,995369182,Skoda,"Witam,

Sprzedam Skoda Fabia II z niezawodnym i oszczędnym silnikiem 1.4 tdi.

Samochód jest wyposażony w m.in:
klimatyzacja
elektryczne szyby
Tempomat
wspomaganie kierownicy
centralny zamek
ABS
poduszki powietrzne
ESP
Isofix
itp

Fabia jest po serwisie zawierającym wymianę tarcz, klocków i zacisków hamulcowych z tyłu.

Auto ładnie się prezentuje zarówno w środku jak i na zewnątrz.

Silnik jest bardzo dynamiczny i zadowala się niskim spalaniem.

Auto jest oczywiście zarejestrowane w Polsce z ważnym przeglądem i ubezpieczeniem.

Zapraszam do kontaktu.
7.8.3.5.4.3.2.1.3",False
,Grande Punto,2008,LPG,Hatchback,370,Srebrny,1400.0,Nieuszkodzony,Manualna,,90.0,,po lewej,8900.0,Stargard,Zachodniopomorskie,Fiat Grande Punto 1.4 benzyna gaz be rdzy,Prywatne,2025-04-24 16:00:54.854952,https://www.olx.pl/d/oferta/fiat-grande-punto-1-4-benzyna-gaz-be-rdzy-CID5-ID15lEYY.html,995176940,Fiat,"Sprzedam Fiat Punto auto z instalacja gazowa samochód zadbany tnie wymaga absolutnie żadnych nakładów finansowych. Posiada instalacje gazowa. Po świeżym serwisie.
Kontakt telefoniczny nie odpowiadam na żadne wiadomości.",True
,5,2011,Diesel,Minivan,218000,Szary,1600.0,Nieuszkodzony,Manualna,,,,po lewej,15900.0,Kraków Prądnik Biały,Małopolskie,Mazda 5 1.6 diesel 2011 rok 7 osobowa,Firmowe,2025-04-24 16:01:03.320659,https://www.olx.pl/d/oferta/mazda-5-1-6-diesel-2011-rok-7-osobowa-CID5-ID15sh0y.html,996753078,Mazda,"Witam, posiadam do sprzedania Mazda 5 z silnikiem 1.6 diesel. Auto pochodzi z 2011r produkcji. Auto w pełni sprawne, wersja 7 osobowa. Wizualnie ładna, jak na zdjęciach.

Wyposażenie:
Elektryczne szyby
Elektryczne lusterka
Klimatyzacja
Kierownica wielofunkcyjna
Podgrzewane fotele
Tempomat
Wspomaganie kierownicy
Radio
Alufelgi
Halogeny
Hak

Przebieg 218tys.km.

Do samochodu komplet dokumentów

Cena 15900 zł do negocjacji przy aucie

Możliwość pozostawienia auta w rozliczeniu

Skupujemy auta wszystkich marek w każdym stanie

Zapraszam do obejrzenia i jazdy próbnej w Krakowie!s",True
1FMCU9H66LUA50442,Escape,2020,Benzyna,SUV,140,Szary,1499.0,Nieuszkodzony,Automatyczna,Stany Zjednoczone,182.0,4x4 (dołączany automatycznie),po lewej,75000.0,Krzeczów,Łódzkie,"Ford Escape 1.5 EcoBoost AWD SE + LPG, napęd 4x4",Prywatne,2025-04-24 16:01:10.771212,https://www.olx.pl/d/oferta/ford-escape-1-5-ecoboost-awd-se-lpg-naped-4x4-CID5-ID15thCX.html,996993787,Ford,"Sprzedaję Ford Escape/Kuga SEL 8AT FWD. Z panoramicznym elektrycznie rozsuwanym dachem. Obecnie jest po wymianie filtrów i oleju w PL. Jest pełna konfiguracja na Kugę EU/PL z aktualizacją systemu.
Wyposażenie pojazdu:
- skórzana tapicerka
- podgrzewane fotele
- podgrzewana kierownica
- elektryczny fotel kierowcy z pamięcią 3 ustawień
- fotel samoczynnie cofający się w celu ułatwienia wsiadania/wysiadania
- klimatyzacja automatyczna
- otwierany elektryczny panoramiczny dach
- kamera przednia - IACC i TSR z rozpoznawaniem znaków
- kamera cofania tylna
- radar przedni adaptacyjny tempomat Stop and Go
- radar tylny wykrywanie ruchu poprzecznego do 30m od pojazdu
- czujniki parkowania tył
- lusterka boczne z monitorowaniem martwego pola- BLIS Cross
- przednie i tylne światła led
- system automatycznego sterowania światłami drogowymi
- system Ford Keyless Entry
- Android Auto oraz system Car Play
- licencyjny interfejs graficzny a w nim:
- nawigacja z najnowszą wersją map Polski I Europy
- pełne sterowanie i obsługa w języku polskim
- skórki, tła, stacje radiowe, dodatki obsługi z poziomu ekranu
- zdalne otwieranie klapy bagażnika wraz z otwarciem ruchem stopy
- zdalne uruchamianie silnika

Dodatkowe informację udzielę telefonicznie 73*****62",True
,Cherokee,2006,LPG,Terenowy,279000,Niebieski,3700.0,Nieuszkodzony,Automatyczna,,,4x4 (dołączany ręcznie),,27500.0,Chorzelów,Podkarpackie,Jeep Cherokee KJ 3.7 benzyna + lpg 2006,Prywatne,2025-04-24 16:01:12.093647,https://www.olx.pl/d/oferta/jeep-cherokee-kj-3-7-benzyna-lpg-2006-CID5-ID14fjJm.html,978888944,Jeep,"Do sprzedania Jeep Cherokee 3.7 benzyna + lpg

Rok produkcji : 2006
Wersja po liftingu

Samochód zadbany . Bardzo bogate wyposażenie : między innymi fotele skórzane , szyberdach , skrzynia automatyczna z reduktorem , hak.

Wersja europejska

Dwa oryginalne kluczyki.

Dwa komplety opon lato + zima w bardzo dobrym stanie.

Ogłoszenie prywatne. Samochód użytkowany na codzień .",False
,A3,2005,Diesel,Hatchback,265,Srebrny,1900.0,Nieuszkodzony,Manualna,,180.0,Na przednie koła,po lewej,24000.0,Linówiec,Kujawsko-pomorskie,Audi a3 8p 1.9 tdi,Prywatne,2025-04-24 16:01:38.001785,https://www.olx.pl/d/oferta/audi-a3-8p-1-9-tdi-CID5-ID15xp3p.html,997975647,Audi,"Sprzedam
Audi a3 8p 2005r
1.9tdi bkc 180 koni
1.Na przestrzeni czasu użytkowania zostały zrobione rzeczy:
* dwumas komplety wraz z sprzęgłem i wysprzęglikiem(tarcz obita w kevlar)
*pokrywa zaworów oem
*pompowtryski były kupowane regerenowane posiadam wykresy do wglądu
*turbina gt1756v kupiona z powertdi posiadam fakturę i gwarancję
*egr off (ekologia usunięta)
*przelot od turbo do samego końca z 2.25cala z przejściem na 3 cale
*pompa vacum nowa poprzednia się rozszczelniła na króćciu
*skrzynia zmieniona z gqq na najdłuższą 5ciegową KBL
*w tym roku zostały wymienione hamulce przód i tył
* auto na tym setupie przejechało 30tys km bez awaryjnie
*klimatyzacja 2 strefowa
*nie dawno nabita klima
2.Zawieszenie
*przednie wahacze tuleje na poliuretanie tylne kupione nowe zwykłe
*łożyska na amortyzatorach nowe
* samochód obniżony na sprężynach firmy jamex
*samochód posiada 2komplety kół lato zimo piano black
*Alufelgi kupione nowe w grudniu zeszłego roku (posiadam fakture i kartony )
Opony letnie 225/45/r17 dwie są 3 letnie i dwie kilku miesięczne
Zimowe 225/45/r17 dwie 2letnie dwie roczne
Auto na chwilę obecną posiada 265tyś km",False
,206 CC,2002,Benzyna,Kabriolet,228000,Czarny,1570.0,Nieuszkodzony,Manualna,,,,,4300.0,Lublin,Lubelskie,Sprzedam pegote 206 cc kabiolet,Prywatne,2025-04-24 16:01:43.529567,https://www.olx.pl/d/oferta/sprzedam-pegote-206-cc-kabiolet-CID5-ID15wIM3.html,997574795,Peugeot,Witam mam do sprzedania peugote 206 CC kabriolet ubezpieczenie ważne rok pt.wazne rok dwa komplety opon zainteresowano osoby zapraszam do obejrzenia,False
VF1JLBHB68V321736,Trafic,2008,Diesel,Minibus,516000,Srebrny,2.0,Nieuszkodzony,Manualna,Polska,115.0,Na przednie koła,po prawej,22000.0,Bydgoszcz,Kujawsko-pomorskie,"Renault Trafic Long 2,0 dci 9 osobowy",Prywatne,2025-04-24 16:02:02.685952,https://www.olx.pl/d/oferta/renault-trafic-long-2-0-dci-9-osobowy-CID5-ID12u5r9.html,952856247,Renault,"Witam. Sprzedam Renault Trafic 2.0 dci 9 osobowy. W ostatnim czasie zostały wymienione
olej z filtrami i łańcuch rozrządu. Trafic ma na wyposażeniu klimatyzację przód i tył , czujnik zmierzchu , sensor deszczu , Elektryczne szyby, ABS, Elektryczne lusterka, centralny zamek, przyciemniane szyby. Ważny przegląd i OC. Więcej informacji pod nr. Tel 60*****24.",True
,Passat,2004,Diesel,Sedan,302,Inny kolor,1896.0,Nieuszkodzony,Manualna,Polska,105.0,Na przednie koła,po lewej,2850.0,Żory,Śląskie,VW passat B5 Fl 2004r 1.9 tdi,Prywatne,2025-04-24 16:02:15.956884,https://www.olx.pl/d/oferta/vw-passat-b5-fl-2004r-1-9-tdi-CID5-ID15rTAw.html,996663051,Volkswagen,"Do sprzedania VW passat B5 Fl z 2004 roku
Auto sprawne jeżdżące
Przegląd i OC do połowy sierpnia

Masz pytania dzwoń możliwa również zamiana nie odpisuje na SMS-y i wiadomości OLX",False
,Prius,2010,CNG i Hybryda,Hatchback,214000,Szary,1800.0,Nieuszkodzony,Automatyczna,,,,,27900.0,Zamość,Lubelskie,Toyota Prius 1.8 hybryda 1 wlasciciel oryginalny przebieg,Prywatne,2025-04-24 16:02:57.234943,https://www.olx.pl/d/oferta/toyota-prius-1-8-hybryda-1-wlasciciel-oryginalny-przebieg-CID5-ID15teqP.html,996981503,Toyota,"Sprzedam świeżo sprowadzoną Toyotę Prius hybryda
Auto od pierwszego właściciela, serwisowane w ASO TOYOTA (książka serwisowa do wglądu), użytkowany prywatnie.
Oryginalny, potwierdzony przebieg.
Technicznie auto w idealnym stanie.

Bezwypadkowy - jedynie wgniotka na błotniku i zderzaku jak na foto

2 kluczyki oraz bagażnik dachowy
Praktycznie nowe opony wielosezonowe Bridgestone z 2024r.

Odbiór za Zamościu.
Cena 27900zł",False
,Corolla,2022,Benzyna,Sedan,52000,Biały,1800.0,Nieuszkodzony,Automatyczna,Polska,,Na przednie koła,po lewej,89900.0,Namysłów,Opolskie,Toyota Corolla hybrid,Prywatne,2025-04-24 16:03:04.554613,https://www.olx.pl/d/oferta/toyota-corolla-hybrid-CID5-ID15spVa.html,996787402,Toyota,Sprzedam Toyota Corolla hybrid 1.8 . Auto z polskiego salonu . Opony całoroczne . W luty został wykonany duży przegląd w serwisie i jest przedłużona gwarancja relax na kolejny rok użytkowania. Więcej informacji pod telefonem 73*****11,True
,S80,2005,Diesel,Sedan,264,Czarny,2400.0,Nieuszkodzony,Automatyczna,Niemcy,163.0,Na przednie koła,po lewej,18500.0,Rzeszów,Podkarpackie,"Sprzedam vovlo s80 2,4 d5 2005",Prywatne,2025-04-24 16:03:09.066141,https://www.olx.pl/d/oferta/sprzedam-vovlo-s80-2-4-d5-2005-CID5-ID14HPjq.html,985683528,Volvo,"Witam mam do sprzedania volvo s80 2.4 d5 o mocy 163km i automatyczną skrzynią biegów o przebiegu 264 tys km w stanie dobrym
Wyposażenie :
climatronic 2 strefowy
grzane fotele przednie
skóra
fotel kierowcy z pamięcią
telefon
nawigacja
składane tylne oparcie
radio cd
regulacje kierownicy w dwóch poziomach
wspomaganie kierownicy
ksenony
składne boczne lusterka
szyny atermiczne
felgi 17 na ładnych oponach zimowych
centralny zamek w kluczyku
volvo jak na 20 lat prezentuje się dobrze
cena do negocjacji na miejscu przy oględzinach auta
przegląd i ubezpieczenie jest ważne do sierpnia
Samochód garażowane",True
,Golf,2010,Benzyna,Hatchback,230000,Czarny,1400.0,Nieuszkodzony,Manualna,Niemcy,,,po lewej,17900.0,Grudziądz,Kujawsko-pomorskie,Volkswagen Golf 1.4 benzyna 2010 rok,Prywatne,2025-04-24 16:03:13.242318,https://www.olx.pl/d/oferta/volkswagen-golf-1-4-benzyna-2010-rok-CID5-ID15u0jf.html,997165545,Volkswagen,"== VOLKSWAGEN GOLF 1.4 BENZ==
2010 ROK, PRZEBIEG 230TYŚ
CENA 17 900 ZŁOTYCH

VOLKSWAGEN GOLF 1.4 BENZYNA

* MOŻLIWOŚĆ OBEJRZENIA POJAZDU PRZEZ WIDEOPREZENTACJE NA WHATSSAP **

Auto sprowadzone z Niemiec
Posiada oryginalny przebieg 230 tys km Potwierdzony książką serwisową.
PRZEBIEG WPISUJĘ NA FAKTURZE.
Nie wymaga od nowego właściciela żadnego nakładu finansowego.
Wizualnie prezentuje się świetnie nie posiada korozji ani rys. Środek auta również jest uszanowany, przyciski nie wytarte.
Silnik, skrzynia biegów oraz sprzęgło działają prawidłowo, nie wymagają od nowego właściciela żadnego serwisu.

Auto posiada pełna książkę serwisową z wpisami w 2023roku. Niemiecki przegląd TUV ważny do 2025r

Auto wyjątkowo dobrze zadbane,
ładne Opony, hamulce przód i tył, wymienione oleje i filtry.

MOŻLIWOŚĆ SPRAWDZENIA AUTA NA DOWOLNEJ STACJI DIAGNOSTYCZNEJ

MOŻLIWOŚĆ TRANSPORTU

Auto po wszystkich opłatach celno skarbowych, pozostał tylko koszt rejestracji 160 złotych
W razie jakichkolwiek pytań zapraszam do kontaktu.
Pozdrawiam Andrzej
-",False
,206 plus,2012,Diesel,Hatchback,240000,Czerwony,,Nieuszkodzony,Manualna,Polska,,Na przednie koła,po lewej,9300.0,Kalinówka,Lubelskie,"Peugeot 206+ 1.4 , HDi",Prywatne,2025-04-24 16:03:16.323540,https://www.olx.pl/d/oferta/peugeot-206-1-4-hdi-CID5-ID15uAgt.html,997303757,Peugeot,Przedmiotem ogłoszenia jest Peugeot 206+ rok produkcji 2012. Bardzo oszczędny silnik 1.4 HDi. Nie wymaga wkładu finansowego.,False
,6,2015,Diesel,Kombi,300000,Czerwony,,Uszkodzony,Automatyczna,Polska,177.0,4x4 (dołączany automatycznie),po lewej,24900.0,Sosnowiec,Śląskie,Sprzedam Mazdę 6 lift z napędem 4x4 uszkodzony rozrząd możliwa zamiana,Prywatne,2025-04-24 16:03:26.771453,https://www.olx.pl/d/oferta/sprzedam-mazde-6-lift-z-napedem-4x4-uszkodzony-rozrzad-mozliwa-zamiana-CID5-ID152ImK.html,990661714,Mazda,"Sprzedam nie typową wersję Mazdę 6 lift z napędem 4x4 z najmocniejszym silnikiem diesla z najbogatszym wyposażeniem w najlepszym kolorze bordo i pięknym środkiem mazda cały czas serwisowana na bieżąco przy przebiegu 290tyś wymienione wtryski wszystko sprawne kamery radary aktywny tempomat head up navi po polsku
Ledy xenony czujniki martwego pola czujnik zaśnięcia i wiele innych dodatków wyposażenia , auto nie jeżdżone po polskich drogach sprowadzone zarejestrowane ubezpieczone więcej info pod numerem telefonu 53*****70 zapraszam.Kreci nie odpala stanęła podczas jazdy prawdopodobnie rozrząd.!!!",False
,Seria 3,2007,Benzyna,Coupe,140000,Inny kolor,,Nieuszkodzony,Manualna,,,,po lewej,34000.0,Zduny,Pomorskie,Sprzedam BMW 320i,Prywatne,2025-04-24 16:03:36.179655,https://www.olx.pl/d/oferta/sprzedam-bmw-320i-CID5-ID15mwpA.html,995378478,BMW,"Mam na sprzedaż BMW 320i 2007r. o
Pojemność silnika 1995 moc125kw benzyna przebieg 140tys
Auto posiada fajne wyposażenie i zostało oklejone folią
wszystkie naprawy wykonane na bieżąco.",True
,S Klasa,2007,Diesel,Sedan,250000,Czarny,,Nieuszkodzony,Automatyczna,,,,,37000.0,Łęczyca,Łódzkie,Mercedes Benz Klasa S 320,Prywatne,2025-04-24 16:03:37.475277,https://www.olx.pl/d/oferta/mercedes-benz-klasa-s-320-CID5-ID15cnTR.html,992966323,Mercedes-Benz,"Sprzedam Mercedes-Benz S klasa 2007 rok. Samochód w bardzo dobrym stanie, nieuszkodzony. Środek zadbany, skóra.
Dodatkowo komplet opon zimowych.

Więcej informacji udzielę telefonicznie 6.0.9.6.0.4.4.5.4.",True
,A3,2010,LPG,Kombi,245000,Czarny,,Nieuszkodzony,Manualna,Niemcy,,Na przednie koła,,22500.0,Radwanice,Dolnośląskie,Audi a3 8p lift 1.4 TFSI + gaz 2010 webasto,Prywatne,2025-04-24 16:03:47.429003,https://www.olx.pl/d/oferta/audi-a3-8p-lift-1-4-tfsi-gaz-2010-webasto-CID5-ID15uPa5.html,997361021,Audi,"Sprzedam Audi a3 z instalacją gazową założoną w 2023 klimatronik webasto ,w moim posiadaniu od 2 lat
Opony 2 letnie wielosezonowe
Ubezpieczenie i badanie techniczne do sierpnia",True
,Seria 1,2007,Diesel,Coupe,330000,Szary,1995.0,Nieuszkodzony,Manualna,Niemcy,,,po lewej,14500.0,Piechowice,Dolnośląskie,Sprzedam BMW 1 E87,Prywatne,2025-04-24 16:03:49.084304,https://www.olx.pl/d/oferta/sprzedam-bmw-1-e87-CID5-ID15o97S.html,995769468,BMW,"Witam sprzedam bardzo ładnie utrzymane BMW 1 którym jezdziła moja żona przez siedem lat ,jestem pierwszym właścicielem w kraju .Auto przez cały czas eksploatacji nie sprawiało żadnych problemów po zakupie został wymieniony rozrząd ,kompletne sprzęgło ,kompletne zawieszenie i usunięta ekologia od tamtej pory wszystkie naprawy eksploatacyjne robione na bierząco .
w razie pytań zapraszam do kontaktu .
pozdrawiam Tomek",True
,Mondeo,1996,Benzyna,Kombi,230000,Inny kolor,2000.0,Nieuszkodzony,Manualna,Polska,1.0,Na przednie koła,po lewej,2800.0,Emilia,Łódzkie,Sprzedam Ford Mondeo 2.0 16V – 1996 r. Zadbany,Prywatne,2025-04-24 16:03:53.378373,https://www.olx.pl/d/oferta/sprzedam-ford-mondeo-2-0-16v-1996-r-zadbany-CID5-ID15qMMs.html,996398556,Ford,"Samochód w bardzo dobrym stanie, zadbany, godny uwagi.
Przebieg: 230 000 km

Wyposażenie:

Elektryczne lusterka

Elektryczne szyby

Elektrycznie sterowane fotele

Sprawna klimatyzacja

Podgrzewane fotele

Szyberdach

I inne

Auto gotowe do jazdy.
Możliwa zamiana.

Kontakt: 72*******67
Zapraszam do kontaktu i oględzin!",False
,A4,2005,Diesel,Kombi,356000,Czarny,,Nieuszkodzony,Manualna,,,Na przednie koła,po lewej,11800.0,Przyborów,Podkarpackie,Audi a4 1.9tdi 115km bez dpf,Prywatne,2025-04-24 16:04:01.458341,https://www.olx.pl/d/oferta/audi-a4-1-9tdi-115km-bez-dpf-CID5-ID15kAfw.html,994920417,Audi,"Audi a4 B7 z silnikiem 1.9tdi (bez dpf) 115km przebieg 350000km przebiegu. Bogate wyposażenie(2 kluczyki), odpinany hak holowniczy. Samochód bardzo zadbany zarówno wewnątrz jak i na zewnątrz co widać na zdjeciach, przyciemnione tylne szyby, od 12 lat w rodzinie. Do przeglądnięcia klimatyzacja po zimie przesłało chłodzić, rozrząd wymieniony ok 60tys temu,dodatkowo komplet opon zimowych.",False
WBAUR31080VF13023,Seria 1,2008,Diesel,Coupe,263351,Czerwony,2.0,Nieuszkodzony,Automatyczna,,200.0,Na tylne koła,,20000.0,Lutcza,Podkarpackie,"BMW E82 120D, 200KM, 2.0 diesel",Prywatne,2025-04-24 16:04:07.285606,https://www.olx.pl/d/oferta/bmw-e82-120d-200km-2-0-diesel-CID5-ID15bpmk.html,992733604,BMW,"Mam do sprzedania BMW E82 z roku 2008 silnik N47 2.0 diesel o mocy 200 km(seria 177km). Z przebiegiem 263351 km
Samochód wyposażony jest w:
automatyczną skrzynię biegów
nawigacja + Idrive
xenonowe lampy
pompowane, grzane fotele w pół skórze z mpakietu
Posiada wejście na isofix (ale nie jest to raczej samochód rodzinny)
elektryczne, podgrzewane lusterka
czujniki parkowania tylnie
zamontowana przednia kamerka
Po wymianie rozrządu, silnik pracuje dobrze
Ubezpieczenie ważne do grudnia 2025,
Felgi letnie mpakiet na ostatnim zdjęciu
Do poprawek lakierniczych",True
,Countryman,2011,Diesel,SUV,162000,Brązowy – Beżowy,1600.0,Nieuszkodzony,Manualna,Belgia,,Na przednie koła,,31000.0,Jabłonowo Pomorskie,Kujawsko-pomorskie,mini counterman 1.6 diesel,Prywatne,2025-04-24 16:04:10.687679,https://www.olx.pl/d/oferta/mini-counterman-1-6-diesel-CID5-ID15tSJ6.html,997136396,Mini,Samocchod sprowadzony z Belgi z przebiegiem 1300tys km w 2021r,False
YV1CM799741093000,XC 90,2004,Diesel,SUV,331700,Czarny,2400.0,Nieuszkodzony,Automatyczna,,,,po lewej,22000.0,Kraków Bieżanów-Prokocim,Małopolskie,VOLVO XC90- okazja!,Prywatne,2025-04-24 16:04:25.662914,https://www.olx.pl/d/oferta/volvo-xc90-okazja-CID5-ID15wEID.html,997559207,Volvo,"Witam,

do sprzedania VOLVO XC90- wszelkie informacje pod numerem telefonu +48 6.6.4-4.4.0-5.2.0.",True
,Corsa,2012,Benzyna,Hatchback,211000,Niebieski,1200.0,Nieuszkodzony,Manualna,,,,,12500.0,Dębica,Podkarpackie,Opel Corsa 1.2 benzyna + gaz LPG 2012,Prywatne,2025-04-24 16:04:35.778632,https://www.olx.pl/d/oferta/opel-corsa-1-2-benzyna-gaz-lpg-2012-CID5-ID15xNO1.html,998070793,Opel,"Opel Corsa 1.2 benzyna + gaz LPG 2012
Z polskiego salonu.

Wersja po liftingu
Generacja D
Instalacja gazowa zamontowana w 2019

211 000 km na liczniku
Skrzynia manualna
Klimatyzacja
Lusterka elektrycznie regulowane
Alufelgi
5 drzwi
Kolo zapasowe
Radio

Kolor granatowy
Bardzo dobry stan
Auto sprawne.
Auto na bieżąco serwisowane.

Akumulator nowy kupiony w grudniu 2024

2 komplety kluczyków",False
VSSZZZAAZCD302684,Mii,2012,Benzyna,Hatchback,38460,Czerwony,1.0,Nieuszkodzony,Manualna,Francja,,Na przednie koła,po prawej,16100.0,Popów,Łódzkie,Seat Mii 2012 – tylko 39 000 km,Firmowe,2025-04-24 16:04:41.675628,https://www.olx.pl/d/oferta/seat-mii-2012-tylko-39-000-km-CID5-ID15uWjR.html,997384691,Seat,"Seat Mii 2012 – tylko 39 000 km, Webasto, LED, styl FR!

Na sprzedaż zadbany Seat Mii z 2012 roku z bardzo niskim przebiegiem – tylko 39 tys. km. Samochód przez większość czasu był trzecim autem w rodzinie i służył głównie do dojazdów do pracy.

Dane techniczne:
Rok produkcji: 2012 ( właścicielem jestem od 2017 )
Przebieg: 39 000 km ( w chwili zakupu auto miało 14 000km wiarygodność przebiegu potwierdzaliśmy na stacji diagnostycznej)
Kolor: czerwony

Wyposażenie:
Klimatyzacja
Radio
Elektryczne szyby i lusterka
Podgrzewane fotele
Wszystkie światła w technologii LED
Webasto (ogrzewanie postojowe)
Aktywny subwoofer
Felgi 17""
Komplet opon zimowych

Dodatki i stylizacja: Auto stylizowane na wersję FR – wyposażone w oryginalne dokładki z Skody Citigo Monte Carlo, co nadaje mu sportowego charakteru i wyróżnia na drodze.

Idealne na miasto – małe, zwinne i ekonomiczne.
Zapraszam do kontaktu i oględzin!",False
,C4 Cactus,2015,Diesel,SUV,210,Biały,1560.0,Nieuszkodzony,Manualna,,73.0,Na przednie koła,po lewej,26900.0,Olszyna,Wielkopolskie,Citroen C4 Cactus,Prywatne,2025-04-24 16:04:43.103841,https://www.olx.pl/d/oferta/citroen-c4-cactus-CID5-ID15dqYx.html,993216473,Citroen,"1.6HDI
Rok produkcji 2015
5 biegowy manual
Przebieg 210 tys. km

Całoroczne opony w bardzo dobrym stanie

Wnętrze czyste i zadbane
Citroen prezentuje się bardzo dobrze

Wyposażenie:
*ABS
*Centralny zamek
*Doświetlenie zakrętów
*Elektryczne szyby
*Elektryczne lusterka
*Skórzana dwukolorowa kierownica
*Podgrzewane fotele
*LED
*Kontrola trakcji
*ISOFIX
*HAK wbity w dowód
*Bluetooth
*AUX
*USB
*Nawigacja / Android Auto
*Kamera cofania 180°
*Klimatyzacja
*Uchwyty na kubek
*Podłokietnik ze schowkiem
*Kierownica wielofunkcyjna
*Tempomat
*Światła do jazdy dziennej
*Dodatkowe dywaniki gumowe
*Dwa kluczyki",True
,207,2007,LPG,Hatchback,280000,Srebrny,1360.0,Nieuszkodzony,Manualna,,,,po lewej,5900.0,Łódź Widzew,Łódzkie,Peugeot 207 1.4 GAZ zobacz !!!,Prywatne,2025-04-24 16:04:53.360575,https://www.olx.pl/d/oferta/peugeot-207-1-4-gaz-zobacz-CID5-ID15uFip.html,997323097,Peugeot,"Sprzedam peugeota w pełni sprawnego z silnikiem benzynowym 1.4 GAZ .
Auto pod względem blacharskim tak jak na zdjęciach .
Butla ważna do roku 2028
Opłaty :
OC do 12.09.2025
Przegląd do 30.12.2025

Zapraszam",False
,S Klasa,1988,Benzyna,Coupe,150000,Niebieski,4200.0,Uszkodzony,Automatyczna,Wielka Brytania,204.0,Na tylne koła,po prawej,12000.0,Sokółka,Podlaskie,"Mercedes SEC 420 benzyna, 1988 rok. Anglik",Prywatne,2025-04-24 16:04:54.771872,https://www.olx.pl/d/oferta/mercedes-sec-420-benzyna-1988-rok-anglik-CID5-ID15t5m3.html,996946611,Mercedes-Benz,Sprzedam Mercedes SEC 420 benzyna z 1988 roku. Więcej informacji pod nr tel. Sprzedam lub zamienię.,False
